grupo_pl,empresa,tipo,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Total Ingresos,TG,Real,,,,,,,,,,,
Total Ingresos,TG,Presupuesto,,,,,,,,,,,
Total Ingresos,TG,LE,,,,,,,,,,,
Subtotal Sueldos,TG,Real,,,,,,,,,,,
Subtotal Sueldos,TG,Presupuesto,,,,,,,,,,,
Subtotal Sueldos,TG,LE,,,,,,,,,,,
Subtotal G. Personal,TG,Real,,,,,,,,,,,
Subtotal G. Personal,TG,Presupuesto,,,,,,,,,,,
Subtotal G. Personal,TG,LE,,,,,,,,,,,
Subtotal G. Adm.,TG,Real,,,,,,,,,,,
Subtotal G. Adm.,TG,Presupuesto,,,,,,,,,,,
Subtotal G. Adm.,TG,LE,,,,,,,,,,,
Subtotal G. Mkt.,TG,Real,,,,,,,,,,,
Subtotal G. Mkt.,TG,Presupuesto,,,,,,,,,,,
Subtotal G. Mkt.,TG,LE,,,,,,,,,,,
Subtotal Tercerizados,TG,Real,,,,,,,,,,,
Subtotal Tercerizados,TG,Presupuesto,,,,,,,,,,,
Subtotal Tercerizados,TG,LE,,,,,,,,,,,
Subtotal Otros,TG,Real,,,,,,,,,,,
Subtotal Otros,TG,Presupuesto,,,,,,,,,,,
Subtotal Otros,TG,LE,,,,,,,,,,,
Total Ingresos,CDS,Real,,,,,,,,,,,
Total Ingresos,CDS,Presupuesto,,,,,,,,,,,
Total Ingresos,CDS,LE,,,,,,,,,,,
Subtotal Sueldos,CDS,Real,,,,,,,,,,,
Subtotal Sueldos,CDS,Presupuesto,,,,,,,,,,,
Subtotal Sueldos,CDS,LE,,,,,,,,,,,
Subtotal G. Personal,CDS,Real,,,,,,,,,,,
Subtotal G. Personal,CDS,Presupuesto,,,,,,,,,,,
Subtotal G. Personal,CDS,LE,,,,,,,,,,,
Subtotal G. Adm.,CDS,Real,,,,,,,,,,,
Subtotal G. Adm.,CDS,Presupuesto,,,,,,,,,,,
Subtotal G. Adm.,CDS,LE,,,,,,,,,,,
Subtotal G. Mkt.,CDS,Real,,,,,,,,,,,
Subtotal G. Mkt.,CDS,Presupuesto,,,,,,,,,,,
Subtotal G. Mkt.,CDS,LE,,,,,,,,,,,
Subtotal Tercerizados,CDS,Real,,,,,,,,,,,
Subtotal Tercerizados,CDS,Presupuesto,,,,,,,,,,,
Subtotal Tercerizados,CDS,LE,,,,,,,,,,,
Subtotal Otros,CDS,Real,,,,,,,,,,,
Subtotal Otros,CDS,Presupuesto,,,,,,,,,,,
Subtotal Otros,CDS,LE,,,,,,,,,,,
Total Ingresos,VA,Real,,,,,,,,,,,
Total Ingresos,VA,Presupuesto,,,,,,,,,,,
Total Ingresos,VA,LE,,,,,,,,,,,
Subtotal Sueldos,VA,Real,,,,,,,,,,,
Subtotal Sueldos,VA,Presupuesto,,,,,,,,,,,
Subtotal Sueldos,VA,LE,,,,,,,,,,,
Subtotal G. Personal,VA,Real,,,,,,,,,,,
Subtotal G. Personal,VA,Presupuesto,,,,,,,,,,,
Subtotal G. Personal,VA,LE,,,,,,,,,,,
Subtotal G. Adm.,VA,Real,,,,,,,,,,,
Subtotal G. Adm.,VA,Presupuesto,,,,,,,,,,,
Subtotal G. Adm.,VA,LE,,,,,,,,,,,
Subtotal G. Mkt.,VA,Real,,,,,,,,,,,
Subtotal G. Mkt.,VA,Presupuesto,,,,,,,,,,,
Subtotal G. Mkt.,VA,LE,,,,,,,,,,,
Subtotal Tercerizados,VA,Real,,,,,,,,,,,
Subtotal Tercerizados,VA,Presupuesto,,,,,,,,,,,
Subtotal Tercerizados,VA,LE,,,,,,,,,,,
Subtotal Otros,VA,Real,,,,,,,,,,,
Subtotal Otros,VA,Presupuesto,,,,,,,,,,,
Subtotal Otros,VA,LE,,,,,,,,,,,
